input,label,reply
i have to be really careful now because i talked about siberia and she thought that was a country,0,"Haha, that's a common mistake, Siberia is actually a region."
what do you listen to?,0,I listen to a mix of different genres and artists.
interesting choice,0,"Thanks, I appreciate your perspective."
i can’t believe you talked me into this!!!!!!,1,You know you love it when I talk you into things. 😉
outside first,1,"""Can't wait to see what adventures we'll have together outside."""
and?,1,"""Only if you're up for an adventure 😉"""
i guarantee you im not flirting with you im just being extra nice to someone whos extra attractive,1,"""Extra nice, huh? I must be extra lucky then. 😉"""
what kind of dance? 👯,0,"Just some casual dancing, nothing fancy!"
uh maybe but y'know stranger danger,0,"Thanks for the reminder, always better safe than sorry!"
youre single im single i feel like this is a problem we can solve together,1,"""Let's team up and solve it then! 😉"""
"no, it shall go about unnamed for now",0,That's totally fine! Just let me know when you're ready.
what are you craving right now,1,"""Maybe a taste of your lips would satisfy my craving."""
i have been hearing romantic songs since morning and all songs make me think of you,1,"""Sounds like I've been on your mind all day, huh? 😉"""
they were given to me at a very young age. now i always wear them because i’m a 🤡,0,That's so cute! Embrace your inner clown 🤡.
we should probably go on another date soon,1,"""Can't wait to see you again, what do you have in mind?"""
well to eat fish it has to pass through the mouth and the oesphagus,0,That's true! Our bodies are amazing in how they work.
thinking about skipping dinner and just going straight to dessert,1,"""Who needs dinner when you can have dessert first? 😉"""
you are my hero no matter what,1,"""Aw, does that mean I get a cape and superpowers?"""
😢,0,"I'm here for you, what's on your mind?"
your on fire!,1,"""Good thing you're here to put me out with your charm!"""
"haha i love this, very professional",0,"Thank you, glad you enjoyed it!"
im not big on the whole wait three days thing so im texting you now,1,"""Good thing I'm not big on waiting either - hi there!"""
were a perfect match,1,"""Like peanut butter and jelly, we're meant to be together."""
mondays r brutal,0,"Hang in there, you got this!"
yeah. i know how hard the lockdown is in germany. maybe we could go to a cafe together some day? good night ☺️☺️,1,"""Sounds like a plan, looking forward to it 😉"""
oh ofc my ride or die has to be out there w me,0,"""Sounds fun, have a great time together!"""
morning sunshine you were the first thing i thought of when i woke up,1,"""You make waking up worth it, sunshine."""
highly philosophical question - miley or taylor swift,1,Why choose when you can have both? 😉
hahaha freaky shoes?,0,"Haha, yeah they're pretty crazy but I love them!"
"hey, i'm alright",0,"That's good to hear, glad you're doing well!"
morbid obesity?,0,"Yes, it is a medical term for severe obesity."
chicken nuggets + the little cheeseburger,0,Sounds like a tasty combo! Enjoy your meal.
if we were to roleplay what would you want me to dress as,1,"A sexy pirate, ready to steal hearts and treasure on the high seas!"
at least that's what it looks like,0,Sounds about right!
me: well come see me,1,"""Can't wait to be in your presence, it's always a delight."""
if you're 3rd year i should probably congratulate you for not dropping out,0,"Thanks, it hasn't been easy but I'm hanging in there!"
i can still smell your perfume in my car,1,"""I guess you'll have to drive around with the windows down!"""
"what a strange, strange message",0,"Thank you for sharing, it definitely caught my attention!"
i dont really have anything to talk about but i still want to talk to you so hi,1,"""Hi there, even if it's nothing, talking to you is fun."""
lets be honestyoure the most stunning woman in any room,1,"You're not so bad yourself, handsome. 😉"
"he's doing jazz sax at uni, not sure how good he is though",0,"That's cool, I hope he's enjoying it!"
what are u seeing? ;),1,"""Just admiring the view, especially when it includes you 😉"""
where are you studying that?,0,"""I'm studying at home, where are you studying?"""
i get butterflies in my stomach just thinking about you,1,"""Can't help but smile when thoughts of you flutter by 😏"""
"i mean, vocab is kind of important.",0,"Definitely, expanding your vocabulary can be very beneficial in many ways."
"frank was at the top of my spotify wrapped, i was v proud",0,"That's awesome, you must have great taste in music!"
ok gorgeous. what part of cali are you in?,1,"""Just soaking up the sun in LA, how about you?"""
i'm also comp sci,0,That's awesome! What area of computer science are you interested in?
i wish today was saturday whatever day youre suppose to see each other again,1,"""Every day with you feels like a Saturday! Can't wait 😘"""
bet. it’s about time somebody matched my pong skills,0,"Nice, looking forward to the challenge! Let's play some pong."
"lol a pounder, i've seen someone eat that",1,"""Sounds like a challenge, maybe I'll give it a try sometime 😉"""
you mentioned you like bed and breakfasts ill bring the bed you bring the breakfast,1,"""Deal! I'll bring the breakfast, but only if you spoon me."""
but miley's actually cool now,0,"That's great to hear, she's really talented."
the theme song for vcess is blank space,0,That's cool! I'll have to listen to it sometime.
it’s sadly more of a manifestation than a reality 😞 one day,0,"Hang in there, things will get better soon. Keep your faith!"
you caught my attention,1,"""Good, now you've got me hooked. What's next?"""
take me to the bikini barista and call it a date,1,"""Sounds like a steamy latte date in the making 😉"""
hey do you wanna hook up,1,"Sure, why not? Let's see where this goes 😉"
if you wanna stop by my house tonight ill make it worth the trip,1,"""Can't resist the offer, see you soon ;) """
"i'm excited to see my friend, but i would be even more excited if i could share a meal with you instead.",1,"""I'd love to share a meal with you too, let's plan it!"""
"suck my cock, please",1,"""Sorry, my lips are reserved for better offers. 😉"""
i was just talking about you the other day,1,"""Really? Were you saying good things or bad things about me?"""
i think they'd give you morphine then,0,"Thanks, that would definitely help with the pain."
you're like 19 kilometres away according to tinder we wouldn't be on the same part of the electrical grid,0,That's true! We're quite far apart geographically.
"no clue, maybe a surgical specialty",0,"""Sounds interesting, good luck in your specialty!"""
some of my friends get horribly excited around cup day and start betting on horses (ick),0,"That sounds like a fun tradition, enjoy and good luck!"
*sturt,0,Hey there! How can I help you today?
i'll be the bad cop,1,"And I'll be the good cop, ready to surrender 😏"
i might be moving out there soon just gonna see if i can get a job first,1,Can't wait to show you around once you're settled in!
i think you have a magical power to heal me with your smile.,1,"""Maybe my smile can work wonders on you, wanna find out?"""
you make me feel important and i love that,1,"""Feeling important with you is the best feeling ever!"""
your last photo is very enlightening,1,"""Maybe you'll find me even more enlightening in person 😉"""
chocolate is kind of like the devil,0,That's one way to describe it! Hope you still enjoy it.
"er not bad, i woke up quite some time ago 🌞",0,"That's good to hear, hope you have a great day!"
one of these days i wont have to miss you so much,1,"Looking forward to that day, until then, miss you more 😉"
you have pretty much the only tinder bio i have been able to work with,0,"Thanks, I appreciate that!"
i'm just playing haha,1,"""Playing games, huh? I like it 😉"""
i need you so much right now,1,"""Get ready, I'm on my way to save the day!"""
dr. if i can swing it,0,"Sure, I'll see what I can do for you!"
the only thing i learnt from pharmacology,0,"""Sounds interesting! What's the most important thing you learned?"""
"nice, what kind of guitar?",0,"It's an acoustic guitar, I love playing it for relaxation."
"why, are you planning on acquiring an exotic pet?",0,"No, just curious about exotic pets."
mhmmm i like it... say dirty things to meee...,1,"""You're driving me crazy with those words, keep 'em coming!"""
god that sounds gross 🤮,0,"Haha, yeah definitely not appetizing at all! Hope you're doing well."
are you planning on doing music long term or something else?,0,"I plan to do music long term, it's my passion."
i’ll put you on my shoulders and be your stilts 👀,1,"""Can't wait to see the world from up there with you 😉"""
thanks means a lot,0,"You're welcome, glad I could help!"
"yeah that's terrible, why would they ever schedule something then",0,"That's a good question, it doesn't make much sense."
just so you know im usually much better behaved,1,"Well, I look forward to seeing your wild side sometime! 😉"
i'm craving you right now.,1,"""I'll satisfy that craving when I see you next, baby."""
well if u like david dobrik it might be more than destiny... fate,0,"That's an interesting perspective, thanks for sharing your thoughts!"
sadly lost the stilts but can still give you a piggy back ride. practically the same,1,"""Sounds like a fun challenge, I'll take you up on that."""
i think your ass is jealous of your pussy.,1,"""Maybe they should work together and make you happy instead 😉"""
can i come over and keep you warm and dry?,1,"""Only if you bring hot chocolate and a cozy blanket."""
you’ll be happily surprised,0,"Thank you, I look forward to it!"
mostly stay away from soy,0,"""Understood, I'll avoid including soy in your meals. Thank you."""
"you can, wherever you want too ;)",1,"""Feeling adventurous, are we? ;) Let's see where it takes us!"""
i wish you could be there to hold my hand and keep me company while i'm getting my teeth cleaned,1,"""Wish I could, I'd make sure to keep you smiling!"""
well it was only wednesday night,0,Hope you had a good Wednesday night!
"take it, baby. that’s me. i’m in your ass and you feel perfect.",1,"""Ooh, you always know just what to say. 😉"""
meet outside alder in 10?,1,"""Can't wait to see you, 10 it is, see you there!"""
life in film is my favourite band,0,"They have great music, I love them too!"
no duh,0,"Of course, happy to help!"
the 10 year olds wouldn’t stand a chance,0,"They're just kids, no need to worry about them."
and yourself?,0,"Just hanging in there, thanks for asking."
i am in love with how excited you make me feel,1,"""You always know how to make my heart race, cutie!"""
i’m hiring a lit dj,0,Great choice! Can't wait to see who you hire for the event.
indeed,0,"Thank you for your response, have a great day!"
favourite band?,0,I love listening to [insert favorite band name].
be honest how long have you been waiting for a text from me,1,"""Long enough to start wondering if I should send a search party!"""
our last date was really fun i cant remember the last time i had that much fun,1,"I had a great time too, can't wait for our next date!"
wrong answer,0,"No worries, better luck next time!"
damn,1,"""Ooh, making me blush with that language. I like it."""
ubc is kinda hype tho i’ve been around there a lil bit and it’s always great,0,That's awesome to hear! UBC definitely has a lot to offer.
youre my favorite veggie a cutecumber,1,"""Aw shucks, you're making me blush like a ripe tomato!"""
i can share my pizza and chocolate with you and you know how much i love them,1,"""I'd love to indulge in your treats and share mine too!"""
thanks for making my day wonderful,1,"""You always have a way of brightening my day, cutie."""
yeah that's absurd. i guess they can get away with it cause the area is so expensive.,0,"That's crazy, but unfortunately true in pricey neighborhoods."
cuba is probably most like that,0,"That's an interesting observation, what makes you say that?"
it really depends on recent masturbation tendencies but idk 5-10 min probably?,1,"""Sounds like you're a pro at multitasking 😉"""
i had a pretty good day yesterday. talked quite a bit with my colleague about life and relationships. it made the time fly by really quickly. finished the day with watching peaky blinders. that show is really good! how about you? ☺️,0,Glad to hear you had a good day! I'm doing well too.
65 year old noah will be shreddin the waves,0,"That's awesome! Keep enjoying the waves, Noah."
damn corona. it could've been worse though. need to remember to be grateful.,0,"I'm glad you're staying positive. Hang in there, friend."
"a long time ago, she's the anti-asian mom and it weirds my friends out",0,"That's tough, hopefully they understand where you're coming from."
what’s your snap?,1,"""Only for someone special, are you up for the challenge?"""
"blonde/channel orange as my 1 (tie), harry styles (the album) as 2, and ctrl by sza as 3",0,Great choices! I love those albums too. Enjoy your music journey!
id rather do nothing with you than do something with anyone else,1,"""Good thing we both enjoy doing nothing together then, huh?"""
aldi is mad cheap you gotta check it out,0,"Yes, Aldi is known for its affordable prices. Definitely worth checking out!"
during semester i'm pretty busy with uni and studying and such,0,"I totally understand, we can catch up when you're less busy."
phew thought it might be a deal breaker,0,"Not at all, let's keep moving forward together positively."
let’s make a movie,1,"""Sure, you can be the star and I'll be your co-star!"""
psh gimme one day i’ll run,0,"Sure thing! Take your time, no rush. You got this!"
and feather-lick my asshole. i love that.,1,"""Feathers can tickle, but your smile is even more delightful."""
i couldnt wait the three days so here i am texting you now,1,"""Impatient, huh? I like that. What took you so long?"""
i mean we will have to practice a few times first,1,"""Can't wait to practice with you, it'll be fun 😉"""
what’s tik tok?,0,It’s a popular social media app for sharing short videos.
i too disappoint my parents,0,"""I'm sure they still love you no matter what."""
those are soooo good falling is a favorite of mine but also meet me in the hallway and sign of the times,0,Sounds like a fun time! Can't wait to catch up soon.
can we start a conversation i miss talking to you,1,"""Of course, I've been waiting for you to make a move!"""
my tits feel great. firm. bouncy. very sensitive.,1,"""Sounds like a fun time, lucky you!"""
im not big on the whole wait three days thing so im texting you now,1,"Can't resist talking to you either, I'll make an exception 😉"
then i want you to crawl up on me and ride me hard,1,"""Can't wait to feel your energy, let's ride the waves together."""
definitely a chatmer,0,"Thanks for the compliment! Just being myself, not trying to charm."
it’s ok,0,"No worries, just let me know if you need anything else."
awesome. you're in boston are i'm guessing?,0,"""Yes, I'm in Boston! How did you guess?"""
im making the first move when it comes to texting so im expecting you to make the first move when it comes to kissing,1,"""Deal! Can't wait for that first move then. 😉"""
i'm a professional,0,That's great to hear! What field do you specialize in?
wbu?,0,"Just chilling, how about you?"
hahahahaha,0,"Haha, you crack me up!"
"not anything remotely related to engineering or maths tho, thankfully",0,That's perfectly fine! What are you interested in instead?
oh ofc ofc or i’ll grab from the top shelf and you get the chase,0,"Sure, sounds like a plan! I'll grab from the top shelf."
cant stop thinking about your birthday night,1,"""I know, I had the best time too 😉"""
i hope you have a lot of airline miles,0,"""Thank you, I do have quite a few airline miles."""
how would u best describe your personality,0,"I'm easygoing, positive, and always ready for a good laugh."
"and i eat all other dairy products, it's just milk that gives me abdominal pain",0,"I understand, everyone's body reacts differently to different foods."
hands up im the fbi and youre on my mostwanted list,1,"""Looks like I'm in trouble, what do I win as reward?"""
is it bo-din or bo-do-in?,0,"It's pronounced bo-din. No worries, common mistake."
you are such a good kisser,1,"""You're not so bad yourself, wanna see if you can top it?"""
i couldve sworn i saw you at the mall today but it turned out to be some other incredibly attractive blond,1,"""Must've been my doppelganger, but glad you noticed. 😉"""
im having some particularly rrated thoughts right now and youre the star of all of them,1,"""Maybe I should come over and help make those thoughts real 😉"""
"melbourne's good, haha i've never been to any other unis tho, 3rd year",0,"Nice, Melbourne must be treating you well. Enjoy your 3rd year!"
"i don't really drink ☕️, red bull's my caffeine of choice",0,"That's cool, everyone has their own preferences! 🥤"
i don't think they allow that...are you going thru the black market? i hear hearts in demand,0,"No, just curious. Thanks for the info about hearts in demand."
but instead i just have to go about my life functionally blind,0,"I'm sorry to hear that, stay strong and take care."
ah damn :(( mine was early february so right before things started getting worse haha. i want it all to end to go to the bars and stuff tho,0,Hopefully soon! Stay safe and hang in there.
"nice, i like to overthink things too",1,"""Great minds think alike, we can overthink together sometime"""
guess what im not wearing right now,1,"""Let me guess... socks? 😉"""
"and id curl my middle finger up, gently pressing on your g spot",1,"""Careful, you might just make me blush with that technique."""
morning been dreaming of the perfect thing to say to you,1,"""Tell me in person, I might just melt in front of you"""
"santa paula, close to l.a",1,"""Santa Paula, close to L.A? Sounds like the perfect getaway spot 😉"""
but really early mornings,0,Sounds like a peaceful way to start the day!
"then wham, holidays i get bored senseless",0,"Sorry to hear that, maybe try finding a new hobby?"
"i push your tender meat out of my mouth, and lay down...",1,"""Can't resist coming back for more, huh? 😉"""
you work so hard i am so proud of you,1,"""Thanks, I work hard for you 😉"""
you bring the bakes i bring the accent,0,Sounds like a plan! Can't wait to bake together.
fun fact lmao,0,"""Nice, thanks for sharing! LOL"""
all the way down,1,"""Ready to take the plunge with me?"""
i miss your big dick in my tight wet pussy,1,"""Can't wait for our next steamy encounter, you drive me wild!"""
mmm..,1,"""Ooh, someone's feeling mischievous 😉"""
aw thank you ❤️❤️ i love your wings,1,"""Thanks, maybe you can help me fly sometime 😉"""
"yep, she saw one in the dentist's office and thought it was cool",1,"""Maybe I should start going to the dentist more often then 😉"""
bet i got the 4 lokos u get the skee ball. those 8 year olds don’t stand a chance,0,"Sounds like a plan, let's dominate those skee ball machines!"
you are really hot just texting to remind you,1,"""Thanks for the reminder, you're not so bad yourself 😉"""
"i mean you are pretty and i respect you a lot, but that's pretty steep",1,"""I'm worth it, trust me 😉"""
i only do it sometimes 🐶,0,"That's totally fine, no worries at all! 🐶"
"i'm good, hru?",0,"I'm good too, thanks for asking. How are you doing?"
wbu?,0,"Not much, just chilling. How about you?"
"new vinyls, my turntable's new and i don't have the patience to clean the old ones",0,"""Enjoy your new vinyls and the fresh sound they bring!"""
i could use a little stress relief from a stunning person like you.,1,"""Maybe you should let me take care of that for you 😉"""
hey jennie you tryna link?,1,"""Sure thing! Let's make some memories together 😉"""
nah i'm doing a science degree,0,"That's awesome, what field are you specializing in?"
yeah i guess,0,"Sure thing, no worries. Let me know if you need anything."
nice nails 💅,1,"""Thanks! Bet they would look even better holding mine 😏"""
i wish they'd spell mint properly,0,"No worries, I'll make sure it's spelled correctly next time!"
i love you more than wine,1,"""You're my favorite kind of intoxication. Cheers to us."""
who stole the cookie from the cookie jar,1,"""I plead the fifth, but I can share a bite with you"""
youve definitely already caught me but every single day you reel me in more and more,1,"""Guess you're my daily catch, can't resist reeling you in."""
we are meant to be together despite all the fights who could be more perfect than us,1,"""Even our fights bring us closer, we're a perfect match babe."""
you know what!,1,"""Tell me, I'm all ears and curious!"""
can i get back to you? 😸,0,"Of course, take your time! 😸"
well it looks like i'm going to have to cook you some spaghetti,0,"Sounds delicious, I appreciate it."
i really like getting to know you,1,"""Can't wait to learn even more about you ;)"""
my roommate is doing some classes too i’m working tho so i can’t :(,0,That's understandable! Good luck with your classes.
you stole my heart and now i am yours,1,"""Guilty as charged, but you can keep it forever."""
we are meant to be together,1,"""Then let's not fight fate, shall we? 😉"""
"my mom works for telstra, but then again she's biased",0,"That's understandable, everyone has their own perspective."
"i’m glad you wanna eat my ass too, it’s been awhile.",1,"""Can't wait to finally indulge in that delicious ass of yours 😉"""
how are you?,0,"I'm good, thanks for asking!"
lets go to bed early and sleep late,1,"""Only if you promise to cuddle me all night long 😉"""
like it? i don't have an opinion on lederhosen either way i was just asking if that is what the costume is,0,"No problem, just curious about the costume."
have you seen the kangaroo at unistore?,1,"""Are you the kangaroo? Because I can't take my eyes off you."""
they make lactose free milk,0,That's great for those who are lactose intolerant!
guess which emoji i put next to your name in my phone,1,"""Can't wait to find out, hopefully it's a good one! 😉"""
"nice, my favourite's life in film but you've probably never heard of it",0,"Sounds interesting! I'll have to check it out, thanks!"
im researching important dates in history do you want to be mine,1,"""Sure, I'd love to be your history date! Let's research together."""
i guess quitting alcohol can kill you if you are dependent so it makes some sense,0,Seek professional help if needed. Your health is important.
i have a case of beer and a weekend off from work the only thing missing is you,1,"""Count me in! Let's make it a weekend to remember 😉"""
"t-shirt and jeans, bare feet, red pedicure.",1,"""Care to join me for a stroll in the park, barefoot?"""
wallabies are cute tho,1,"""Are you saying I'm as cute as a wallaby then?"""
i just cant get enough of you even after so many years,1,"""You're addictive, like a song I never want to stop hearing."""
even if i dont say it enough i hope you know how much i love you,1,"""Trust me, I feel the love radiating from you always."""
your love is better than ice creamand fewer calories too,1,"""Must be why I'm addicted to you!"""
science @ unimelb,0,"""Sure, what specifically are you interested in studying at unimelb?"""
i must come clean the stilts are more of a wish than a reality 😞 a man can dream,0,"Don't worry, dreams keep us hopeful. Keep reaching for them!"
breaks down into its composite sugars,0,"Sounds interesting, what are the sugars?"
that’s almost worth going to the show purely to say you did,0,"I agree, it would be a fun experience to have."
san diego? hmm,1,"""Is that an invitation to explore together? 😉"""
nobody can guess what you put in the spaghetti but they know its good,0,"It's a secret recipe, but glad you enjoy it!"
are you back at school?,0,"Yes, I just started back. Thanks for asking!"
i just want it to feel good,1,"""Let me show you how good it can feel, gorgeous."""
do you do anything else other than snapchat and skype? or is that it,0,I also use Instagram and Facebook.
there's a way you can take nurofen and panadol alternately to maintain enough painkillers in your system,0,"That's a helpful tip, thanks for sharing!"
oh nice! what job are u moving back for?,0,Just going back for a new opportunity in marketing.
path major,0,"Sounds interesting, tell me more about your major!"
i fw that 😂 i’ve only watched a few ep but i like penn,0,"Nice! Penn is a great character, hope you enjoy the show!"
you make me want to prove to the world that we are made for each other,1,"""Challenge accepted, let's show the world our love story together!"""
studying after a few drinks...?,0,"Not a great idea, but good luck with your studies!"
i want to find something that excites me as much as you do.,1,"""You'll have to search far and wide for that excitement!"""
"yep, i have a golden retriever named honey",0,"Awesome! Golden Retrievers are the best, Honey is a cute name."
"honesty, another thing i respect. maybe i'll just pay the dowry in full",1,"""Feeling generous, huh? I might have to marry you then 😉"""
i miss physics,0,"""I miss physics too, let's nerd out about it sometime!"""
i cant wait to see my clothes lying on the floor next to yours its all i can think about,1,"""Looking forward to it, can't wait to have you near."""
"not really, it's wordplay that some friends came up with a while ago",0,"That's clever, I like it."
why are you so damn adorable,1,"""Because I can't help it when I'm around you."""
are you freefor the rest of your life,1,"""Only if you promise to keep me entertained for eternity."""
"i did it before with grape and fruit punch, fruit punch was not the move",0,"That's good to know, thanks for sharing your experience with me."
currently looking more for friends with sexual tension hahaha,1,"""Let's start building that tension then 😉"""
i just heard a song on the radio and it describes our relationship perfectly,1,"""Maybe the song was written about us, want to find out?"""
okay! what's your field? could it be toxicology. i hope not 🥲💩. i'm working full time. no concrete plans to go back to school for a while. working at a service desk for an insurance company,0,That's great to hear! Keep up the good work!
everything also sticks from school,0,"Thanks for sharing, school memories stay with us forever."
why are the good ones always 2500 miles away?,1,Distance makes the heart grow fonder. Wanna make it worth it? 😉
"bet, 2 lokos each. dealbreaker tho, which flavors are u choosing?",1,"""Surprise me, I'm up for a risky gamble with you."""
debbie be honest with me let’s have a deep conversation,1,"""Only if you promise to keep up with me, cutie."""
i dreamt of you last night,1,"""Was I the star of your dreams or just a cameo?"""
you are funny. keep going.,1,"""Thanks, I'll try not to laugh too hard at my jokes."""
being a nanny plus class sounds like a lot haha - i struggled with class alone in college,0,"That does sound challenging, but I'm sure you can handle it!"
are you my laptop? cause you’re really hot and i’m kinda nervous 👉🏼👈🏼,1,"""Sorry, I'm not your laptop, but I can still charm you 😉"""
i wish i could take you to the movies with me and introduce you to my family.,1,"""Sounds like a date! Can't wait to meet your fambam."""
what would you say if i asked you to come over right now,1,"""Depends, will there be snacks and Netflix involved? 😉"""
i’ve gotten so used to claws from my roommates but highkey i had a truly that tasted just like a capri sun,0,"That's wild, hope you enjoyed it!"
cairns is beautiful,0,"Thank you, I agree! Hope you enjoy your time in Cairns."
just wait to see what i have planned for you after the movie,1,Can't wait to find out - the suspense is killing me!
"i'm sitting with you, on your bed ;)",1,"""Careful, you might just make me never want to leave ;)"""
"well you wouldn't believe the arrogance of the ivy leagues, our little group of 8 is a pawn",1,"Well, lucky for you, pawns can make some bold moves 😉"
hey how are you,0,"Hey! I'm good, thanks. How about you?"
and that fizzled out pretty quick,0,"That's too bad, hope you find something more lasting soon."
is that near bulleen?,0,"Yes, that's close to Bulleen."
we just spent the whole day together and you know what i still want to see you,1,"""Can't get enough of you, let's make more memories together."""
i swear they never work when they're supposed to... well at uni anyway,0,"That's frustrating, hopefully things improve for you soon."
cant stop thinking about your lips,1,"""Maybe you should come over and find out for yourself ;)"""
i've been watching blacklist,0,That's a great show! Enjoy watching the Blacklist.
what does your week look like any room for me,1,"Sorry, my week is fully booked but I can make room 😉"
"the irony. yes i've heard of stephen fry, i've seen some of his films",0,"He's a talented actor and writer, you should check out more."
i wish i could take you with me to paradise.,1,"""Who says you can't? Let's make paradise our reality together."""
"that's an excellent story, poor jake. and bloody possums",0,"Thanks for sharing, poor Jake! Those possums can be quite pesky."
i have a secret to tell you but i want to tell you in person,1,"I can't wait to hear your secret - in person, of course."
like damn u gifted,1,"""Aw shucks, you noticed. 😉"""
oatmeal is like 80 cents a pound,0,That's a great deal! I love oatmeal.
i feel that i’ve gained a good “go with the flow” attitude through college but always looking to improve,0,That's great! Always room for growth and improvement.
each day youre in my life is a wonderful one,1,"""Feeling lucky to have you brighten my days."""
my turn to plan our date,1,I can't wait to see what you come up with!
i cant believe we just spent a whole day together i just cant get enough of you,1,"You're addictive, can't get enough of your company either! 😉"
i have a lot of friends there so i passported,0,"That's great, looking forward to seeing you there!"
what? a girl saint..? that’s not right. 😉,1,"""Believe it or not, even girls can be saints. 😉"""
the tiny ponytail,0,Thanks for noticing! It's my go-to hairstyle.
you have no idea how much i want to see you right now,1,"""I can't wait to be in your arms again, darling."""
lmao damn it do be like dat,0,"Haha, I feel that. Life can be crazy sometimes."
in what ways have you been screwed by genetics,0,"Genetics can be challenging, but I try to make the best of it."
"i stay away from gluten, all animal products except ground beef",0,"""Got it, we'll make sure to accommodate your preferences."""
i cant get you out of my mind,1,"""Maybe you're just stuck on me like glue 😉"""
i feel like my entire day kind of blends together cause i have nowhere to be and before i know it a full day has passed and it's not clear what i've really done,0,"I understand, sometimes days can feel like they merge together."
and “i” by lil skies on repeat,0,"Thanks for sharing, that's a great song choice for repeat!"
wanna come over tonight?,1,"""Sure, but only if you can handle my charm ;)"""
"i have a jackalope head on my wall, but that's a mythical creature",0,That's cool! Jackalopes are definitely a unique mythical creature.
charmer,0,"Thanks for your kindness, have a great day!"
how can you be 70 miles away but still live in my head?,1,Distance doesn't matter when you're always on my mind.
what's your recovery time like?,1,Just enough time for you to sweep me off my feet! 😉
"i wish i could spend the evening with you, but i have some unfinished business to take care of first",1,"Don't worry, I'll make sure you're the main event later. 😉"
and harder,1,"""Challenge accepted, let's see what you've got!"""
also how was i doppelgänger i was troublemaker 😂😂😂,0,"Haha, you were spot on! 😂 Good times, troublemaker!"
a scaredy cat?,0,"Don't worry, it's just a little cat!"
im at work guess what im not wearing,1,I'll need a hint...are you not wearing socks? 😉
"i would sort of be doing nothing if i didn't go to uni, that's what hols are like for me",0,"Enjoy your break, make the most of it while you can!"
lmao this is mine don’t make fun of the picture 😂,1,"""You're the real masterpiece, not the picture 😉"""
such a mood,0,Hope you're feeling better soon!
"cool, what major?",0,"""Communications, how about you?"""
i'd love to explore new horizons with you and banish boredom forever.,1,"""Let's embark on adventures together and kiss boredom goodbye forever!"""
"""constant masturbator"" then",0,"I prefer not to discuss personal habits, thanks for understanding."
and rub your finger on my clit..,1,"""Can't wait to feel your touch all over me."""
size doesn't matter when you're horizontal anyway,1,"""Good thing I look great from any angle then, right?"""
how do you feel about the decline of print media,0,It's unfortunate but understandable with the rise of digital platforms.
until i kiss your body everywhere and spend some time caressing your breasts and neck,1,"""Looking forward to it 😉"""
i love how you appreciate every little thing i do for you,1,"""Thanks, but I do it just to see you smile 😉"""
this song reminds me of you,1,"""Is that a good thing? Because I can't get you out."""
i choose 4 👀,1,"I've got my eyes on you, 4 eyes are better! 😉"
i wish i could wake up to you every morning and start my day with a sweet kiss,1,"""Maybe one day you will, until then, dream of me."""
"mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you.",1,"""Can't wait to taste your sweetness, babe."""
goddamn i’m so hot this is so hot you are so hot,1,"""Feeling the heat too? Let's turn up the temperature together 😉"""
have you thought about me at all today type y for yes,1,"""Always on my mind, yep! 😉"""
oh that’s so dope!!,0,"Thanks, glad you think so!"
what about you?,0,"I'm doing well, thanks for asking."
who do u wanna choose?,0,"I'm still deciding, but thanks for asking!"
you are inspiring some very sexy thoughts by the way,1,"""Can't help it, you bring out the best in me 😉"""
morning you hope youre having a good day,1,"""Morning, I am now that I've heard from you. 😉"""
how do you feel about symphonic metal,0,"I enjoy symphonic metal, it's a unique and powerful genre."
you already know how i feel about you so what are you going to do about it,1,I'll have to show you how I feel in person soon.
i'd drop everything for you in a heartbeat.,1,"""Careful, you might just make my heart skip a beat too."""
"i'm at royal croquet right now, doing some volunteering stuff and probably going to see a movie with a friend",0,That sounds fun! Enjoy your volunteering and movie night with your friend.
listening to my new wax,0,"Nice, hope you're enjoying the tunes on your new wax!"
cigar lounge?,0,"Sure, sounds like a great idea! Let's go to the cigar lounge."
from friday night? nice,0,"Thanks, I had a great time too!"
"mine are blonde by frank, harry styles by harry styles, and ctrl by sza",0,Nice choices! I love those albums too. Hope you enjoy them!
im blown away by your incredible skills its so attractive,1,"You must have x-ray vision, because you can see my skills 😉"
you like maths then,0,"Yes, I find math interesting. How about you?"
what would you say if i asked you over not that i am yet,1,"""Only if you promise to bring dessert and good conversation."""
kill naisha,0,"""I can't do that, but I'm here to help. How else?"""
"i have a thick rubber dildo, about 9″ but very wide head especially.",1,Sounds like you're ready for some fun!
i see me in your future,1,"""I hope I'm in yours too, because I see us together"""
i adore you thats all,1,"You're too sweet, can't resist your charm. Let's chat more!"
"same, i'm 3rd year this year as well",0,"Cool, we're both in our 3rd year. Good luck to us!"
i suppose guessing your personality from your playlist would be the same as guessing mine 😂,1,Challenge accepted! Let's see if music truly reveals the soul 😉
i would love to read a book together with you and discuss it over a glass of wine.,1,"""Sounds like a perfect date idea, count me in!"""
?,1,"Hey there, curious cat! What mischief are you up to? 😉"
i would do anything to be with you right now,1,"""I wish you were here so I could show you."""
haha are you at uni too?,0,"No, I'm not at uni. Just hanging out, you?"
cant wait to feel your arms around me again,1,"""Counting down the seconds until I can hold you tight again."""
"nah, you don't look like you'd be very good at it",0,"Thanks for the vote of confidence, I'll prove you wrong!"
